ID;Posição;RGB
GuilhermeBoulos;esquerda;rgb(203, 113, 126)
davidmirandario;esquerda;rgb(208, 102, 117)
jandira_feghali;esquerda;rgb(203, 113, 126)
taliriapetrone;esquerda;rgb(209, 100, 115)
IvanValente;esquerda;rgb(204, 110, 124)
luizaerundina;esquerda;rgb(204, 110, 124)
FlavioDino;esquerda;rgb(203, 113, 126)
DeputadoFederal;esquerda;rgb(204, 112, 125)
samiabomfim;esquerda;rgb(208, 102, 117)
MottaTarcisio;esquerda;rgb(207, 105, 119)
marciatiburi;esquerda;rgb(205, 108, 122)
GuajajaraSonia;esquerda;rgb(208, 102, 117)
pauloteixeira13;esquerda;rgb(204, 112, 125)
aureacarolinax;esquerda;rgb(209, 100, 115)
mariellefranco;esquerda;rgb(207, 105, 119)
erikakokay;esquerda;rgb(207, 105, 119)
Glauber_Braga;esquerda;rgb(207, 105, 119)
wadih_damous;esquerda;rgb(205, 108, 122)
fernandapsol;esquerda;rgb(207, 103, 118)
HenriqueFontana;esquerda;rgb(203, 113, 126)
dasilvabenedita;esquerda;rgb(205, 108, 122)
VICENTINHOPT;esquerda;rgb(204, 112, 125)
RogerioCorreia_;esquerda;rgb(207, 105, 119)
JFMargarida;esquerda;rgb(208, 102, 117)
MariliaArraes;esquerda;rgb(204, 110, 124)
BohnGass;esquerda;rgb(207, 105, 119)
enioverri;esquerda;rgb(205, 108, 122)
heldersalomao;esquerda;rgb(206, 107, 121)
CarlosZarattini;esquerda;rgb(204, 112, 125)
guimaraes13PT;esquerda;rgb(203, 113, 126)
EdmilsonPSOL;esquerda;rgb(203, 113, 126)
Alice_Portugal;esquerda;rgb(201, 117, 129)
ReginaldoLopes;esquerda;rgb(204, 112, 125)
depjorgesolla;esquerda;rgb(206, 107, 121)
Patrus_Ananias;esquerda;rgb(207, 105, 119)
zeca_dirceu;esquerda;rgb(204, 112, 125)
AfonsoFlorence;esquerda;rgb(204, 112, 125)
chico_dangelo;esquerda;rgb(206, 107, 121)
natbonavides;esquerda;rgb(208, 102, 117)
zemaria_pstu;esquerda;rgb(201, 117, 129)
uczai;esquerda;rgb(206, 107, 121)
dep_padrejoao;esquerda;rgb(206, 107, 121)
Luizianne13PT;esquerda;rgb(207, 103, 118)
depmarcon;esquerda;rgb(204, 112, 125)
depleomonteiro;esquerda;rgb(202, 115, 128)
paulaodopt;esquerda;rgb(204, 110, 124)
DepCaetano;esquerda;rgb(203, 113, 126)
DepValmir;esquerda;rgb(205, 108, 122)
NiltoTatto;esquerda;rgb(206, 107, 121)
Haddad_Fernando;esquerda;rgb(199, 123, 135)
ManuelaDavila;esquerda;rgb(200, 120, 132)
cirogomes;esquerda;rgb(193, 135, 145)
LulaOficial;esquerda;rgb(198, 125, 136)
MarceloFreixo;esquerda;rgb(201, 118, 131)
jeanwyllys_real;esquerda;rgb(200, 120, 132)
gleisi;esquerda;rgb(194, 133, 143)
esuplicy;esquerda;rgb(200, 120, 132)
lucianagenro;esquerda;rgb(201, 118, 131)
mariadorosario;esquerda;rgb(200, 120, 132)
50ChicoAlencar;esquerda;rgb(201, 118, 131)
tabataamaralsp;esquerda;rgb(199, 122, 134)
lindberghfarias;esquerda;rgb(197, 127, 138)
requiaopmdb;esquerda;rgb(199, 122, 134)
vanessa_grazz;esquerda;rgb(198, 125, 136)
tarsogenro;esquerda;rgb(199, 123, 135)
alessandromolon;esquerda;rgb(199, 122, 134)
padilhando;esquerda;rgb(198, 125, 136)
senadorhumberto;esquerda;rgb(199, 123, 135)
paulopaim;esquerda;rgb(199, 123, 135)
rfalcao13;esquerda;rgb(199, 123, 135)
jaqueswagner;esquerda;rgb(200, 120, 132)
fatimabezerra;esquerda;rgb(199, 122, 134)
tuliogadelha;esquerda;rgb(201, 118, 131)
costa_rui;esquerda;rgb(197, 127, 138)
lidicedamata;esquerda;rgb(197, 127, 138)
orlandosilva;esquerda;rgb(201, 118, 131)
nelsonhbarbosa;esquerda;rgb(199, 122, 134)
rubenspereirajr;esquerda;rgb(195, 132, 142)
PauloRocha_13;esquerda;rgb(195, 132, 142)
marciojerry;esquerda;rgb(193, 135, 145)
nelsonpelegrino;esquerda;rgb(199, 122, 134)
achinaglia;esquerda;rgb(201, 118, 131)
depmarcelonilo;esquerda;rgb(192, 139, 148)
perpetua_acre;esquerda;rgb(199, 122, 134)
Daniel_PCdoB;esquerda;rgb(199, 122, 134)
SenadorRogerio;esquerda;rgb(195, 132, 142)
wdiaspi;esquerda;rgb(191, 140, 149)
EdvaldoNogueira;esquerda;rgb(191, 140, 149)
depzeneto;esquerda;rgb(196, 130, 141)
RubensOtoni;esquerda;rgb(193, 135, 145)
alielmachado;esquerda;rgb(195, 132, 142)
josiasgomesba;esquerda;rgb(200, 120, 132)
JoseAirtonPT;esquerda;rgb(198, 125, 136)
vanderloubet;esquerda;rgb(192, 139, 148)
assis_carvalho;esquerda;rgb(197, 127, 138)
BetoFaroPT;esquerda;rgb(201, 118, 131)
renildo;esquerda;rgb(199, 123, 135)
deppauloguedes;esquerda;rgb(192, 139, 148)
Dep_ZeCarlosPT;esquerda;rgb(201, 118, 131)
waldenorpereira;esquerda;rgb(201, 118, 131)
dilmabr;esquerda;rgb(190, 142, 150)
MarinaSilva;esquerda;rgb(184, 157, 163)
Sen_Cristovam;esquerda;rgb(182, 162, 167)
EduardoJorge;esquerda;rgb(187, 149, 156)
FHC;esquerda;rgb(181, 164, 169)
eduardopaes_;esquerda;rgb(182, 162, 167)
KatiaAbreu;esquerda;rgb(188, 147, 155)
renancalheiros;esquerda;rgb(181, 164, 169)
randolfeap;esquerda;rgb(186, 152, 159)
cidfgomes;esquerda;rgb(187, 150, 157)
Casagrande_ES;esquerda;rgb(180, 165, 170)
GeraldoJulioPSB;esquerda;rgb(180, 165, 170)
ottoalencar;esquerda;rgb(182, 162, 167)
CamiloPSB;esquerda;rgb(185, 155, 162)
Luciano_Cartaxo;esquerda;rgb(183, 159, 165)
dep_paulinho;esquerda;rgb(183, 159, 165)
manoeljunior;esquerda;rgb(180, 165, 170)
PompeodeMattos;esquerda;rgb(189, 145, 153)
elizianegama;esquerda;rgb(181, 164, 169)
venezianovital;esquerda;rgb(181, 164, 169)
EHolandaJr;esquerda;rgb(187, 150, 157)
wevertonrocha;esquerda;rgb(189, 145, 153)
RenanFilho_;esquerda;rgb(181, 164, 169)
senadorjpprates;esquerda;rgb(190, 142, 150)
BiradoPindare;esquerda;rgb(190, 142, 150)
andrepdt12;esquerda;rgb(190, 144, 152)
depjoaomaia;esquerda;rgb(181, 164, 169)
firmino_filho;esquerda;rgb(182, 160, 166)
LucianoRezende;esquerda;rgb(181, 164, 169)
Domingos_Neto;esquerda;rgb(181, 164, 169)
DeputadoBacelar;esquerda;rgb(187, 150, 157)
gervasiomaia;esquerda;rgb(183, 159, 165)
PauloCamara40;esquerda;rgb(181, 164, 169)
LaercioFederal;esquerda;rgb(183, 159, 165)
WilsonSantiago_;esquerda;rgb(182, 162, 167)
Silvio_CFilho;esquerda;rgb(185, 155, 162)
depjuliodelgado;esquerda;rgb(182, 162, 167)
RaulHenry;esquerda;rgb(181, 164, 169)
elcionepmdb;esquerda;rgb(183, 159, 165)
FabioHenriqueSE;centro;rgb(186, 152, 159)
RafaelMottaRN;centro;rgb(180, 165, 170)
iracemaportela;centro;rgb(183, 159, 165)
ProfIsrael;centro;rgb(183, 159, 165)
